"subclass"	"n_samp_obs"	"cladeA_MA"	"cladeF_MA"	"cladeG_MA"	"cladeH_MA"	"cladeI_MA"	"cladeJ_MA"	"FC_cladeF_V_cladeA"	"FC_cladeG_V_cladeA"	"FC_cladeH_V_cladeA"	"FC_cladeI_V_cladeA"	"FC_cladeJ_V_cladeA"	"FC_cladeG_V_cladeF"	"FC_cladeH_V_cladeF"	"FC_cladeI_V_cladeF"	"FC_cladeJ_V_cladeF"	"FC_cladeH_V_cladeG"	"FC_cladeI_V_cladeG"	"FC_cladeJ_V_cladeG"	"FC_cladeI_V_cladeH"	"FC_cladeJ_V_cladeH"	"FC_cladeJ_V_cladeI"	"tuk_cladeF_cladeA_diff"	"tuk_cladeF_cladeA_p"	"tuk_cladeG_cladeA_diff"	"tuk_cladeG_cladeA_p"	"tuk_cladeH_cladeA_diff"	"tuk_cladeH_cladeA_p"	"tuk_cladeI_cladeA_diff"	"tuk_cladeI_cladeA_p"	"tuk_cladeJ_cladeA_diff"	"tuk_cladeJ_cladeA_p"	"tuk_cladeG_cladeF_diff"	"tuk_cladeG_cladeF_p"	"tuk_cladeH_cladeF_diff"	"tuk_cladeH_cladeF_p"	"tuk_cladeI_cladeF_diff"	"tuk_cladeI_cladeF_p"	"tuk_cladeJ_cladeF_diff"	"tuk_cladeJ_cladeF_p"	"tuk_cladeH_cladeG_diff"	"tuk_cladeH_cladeG_p"	"tuk_cladeI_cladeG_diff"	"tuk_cladeI_cladeG_p"	"tuk_cladeJ_cladeG_diff"	"tuk_cladeJ_cladeG_p"	"tuk_cladeI_cladeH_diff"	"tuk_cladeI_cladeH_p"	"tuk_cladeJ_cladeH_diff"	"tuk_cladeJ_cladeH_p"	"tuk_cladeJ_cladeI_diff"	"tuk_cladeJ_cladeI_p"	"f_stat"	"sum_of_sq"	"p_val"	"adj_p_val"	"sample_type_DA"
"Dibenzylbutane lignans"	21	0	4.2233548298427e-06	0	2.33992003144656e-05	0	7.95926588974881e-06	Inf	NA	Inf	NA	Inf	-Inf	2.46999785847802	-Inf	0.91424591036264	Inf	NA	Inf	-Inf	-1.55575194811538	Inf	0.00118582717335322	0.965658150566743	-5.8152661978768e-19	1	0.00175056205336669	0.237789264297433	-7.77668649173694e-18	1	0.000879489838556363	0.856853573039369	-0.00118582717335322	0.989833344523028	0.000564734880013465	0.9984130894543	-0.00118582717335323	0.977493888671566	-0.000306337334796862	0.999914802139632	0.00175056205336669	0.845018815257436	-7.19515987194926e-18	1	0.000879489838556363	0.990895706226925	-0.0017505620533667	0.547771436609346	-0.000871072214810326	0.576931370962409	0.00087948983855637	0.954816433179233	1.45615436380144	7.38088586610439e-05	0.206278051007622	0.373878967451314	"NA"
"Oxanes"	7	0	0	9.6122661405474e-05	7.25410931289634e-06	0	3.15960714186161e-05	NA	Inf	Inf	NA	Inf	Inf	Inf	NA	Inf	-3.72800620307908	-Inf	-1.605131405542	-Inf	2.12287479753709	Inf	-8.26457746935541e-18	1	0.0043849302076697	0.316872671576732	0.000410626775539718	0.998916918208454	-3.93762516279963e-18	1	0.00105812263436236	0.908283190569112	0.00438493020766971	0.546987681484137	0.000410626775539727	0.99992407722561	4.32695230655579e-18	1	0.00105812263436237	0.992163989452612	-0.00397430343212999	0.35682548144157	-0.00438493020766971	0.414229981977392	-0.00332680757330734	0.548483679187771	-0.000410626775539722	0.999717051469041	0.000647495858822645	0.946778873095279	0.00105812263436237	0.972766579033943	1.1087489213843	0.000103045634250289	0.357250457357849	0.523996835637357	"NA"
"Pyridines and derivatives"	3	6.75598987184382e-05	0.000122545069105724	0	2.23625263662604e-05	0.000124577885208876	1.41432382800657e-05	0.859073364627616	-Inf	-1.59508398207308	0.882808916596775	-2.25605468340573	-Inf	-2.45415734670069	0.0237355519691587	-3.11512804803335	Inf	Inf	Inf	2.47789289866985	-0.660970701332657	-3.13886360000251	-0.00303750541373581	0.746427024087226	-0.0030375054137358	0.80034456168643	-0.00303750541373572	0.120141089527518	-0.00303750541373586	0.529956584140294	-0.00293352731277466	0.116461920953692	3.68628738645072e-18	1	8.95666524212718e-17	1	-5.61025342344317e-17	1	0.00010397810096115	0.999999950512035	8.58803650348211e-17	1	-5.97888216208825e-17	1	0.000103978100961146	0.999999967751146	-1.45669186655704e-16	1	0.00010397810096106	0.99999498626962	0.000103978100961206	0.99999980290921	1.49470183357104	0.000173855560444178	0.193510659929043	0.365987552474495	"NA"
"Organic phosphoric acids and derivatives"	5	4.10058811498204e-05	4.4072577462615e-05	0.000474930216086808	8.35884031036198e-05	7.73345648041471e-06	9.02110791926034e-05	0.104050432175056	3.53381280244934	1.02747196048726	-2.40664556072986	1.13747378872568	3.42976237027429	0.923421528312209	-2.51069599290492	1.03342335655063	-2.50634084196208	-5.94045836317921	-2.39633901372366	-3.43411752121713	0.110001828238417	3.54411934945555	-6.52985399337861e-19	1	0.00525766520479119	0.00405775846789258	0.000246951187868629	0.999351655545378	-2.0575200318759e-18	1	0.000472233314352203	0.983348312613445	0.00525766520479119	0.0345193428373988	0.00024695118786863	0.999955022942952	-1.40453463253804e-18	1	0.000472233314352204	0.998846046850051	-0.00501071401692256	0.00333668768616813	-0.0052576652047912	0.0111725976740905	-0.00478543189043899	0.00522870718812696	-0.000246951187868632	0.999831746565433	0.000225282126483574	0.99719660967314	0.000472233314352205	0.99567776883193	3.03217271209503	0.000125940026162723	0.011779027674055	0.0512387703821391	"cladeG"
"Thioethers"	26	0	0	0	1.24072560202813e-05	0	1.1549402271734e-05	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	-0.10336589708743	Inf	-9.76767593575577e-18	1	-2.39510116285434e-18	1	0.00137605600603868	0.381752345878256	-4.64235657491521e-18	1	0.00122232931447132	0.472781780095898	7.37257477290143e-18	1	0.00137605600603869	0.869556992314061	5.12531936084057e-18	1	0.00122232931447133	0.912633668461199	0.00137605600603868	0.904950592389365	-2.24725541206086e-18	1	0.00122232931447132	0.937983213548247	-0.00137605600603868	0.682364054805107	-0.00015372669156736	0.999534796248347	0.00122232931447132	0.763563957639408	1.39674527547936	5.68578031240131e-05	0.227391864303356	0.395661843887839	"NA"
"Pyrimidine nucleosides"	37	1.6639654918888e-06	4.23476205573249e-06	0	2.68626569876928e-05	1.42945902804391e-05	3.44984807061489e-05	1.34765539469906	-Inf	4.01290458930941	3.10277184962452	4.37383540820178	-Inf	2.66524919461035	1.75511645492547	3.02618001350272	Inf	Inf	Inf	-0.910132739684887	0.360930818892367	1.27106355857725	0.00090416527719286	0.995886313145616	-0.000283947202122573	0.999990041423801	0.00240681149761595	0.130582482542797	0.00189215104084111	0.772777120686773	0.000947097040892435	0.909953020008621	-0.00118811247931543	0.99589674405718	0.00150264622042309	0.944630043538293	0.000987985763648245	0.996046484394624	4.29317636995749e-05	0.999999998228976	0.00269075869973852	0.669900279203176	0.00217609824296368	0.903569789145668	0.00123104424301501	0.982863398971706	-0.00051466045677484	0.998577683408244	-0.00145971445672351	0.220723926654865	-0.00094505399994867	0.973571374611339	1.86046306298661	0.000139839178212884	0.103264489965835	0.221033467854222	"NA"
"Naphthalenes"	4	0.000219168015481787	0.00028607692992523	0.00100779822809072	0.000480818308187053	0.00122275554245664	0.000461195809491615	0.384365886812965	2.20109764734628	1.13345455837965	2.48002682654791	1.07334213204221	1.81673176053331	0.749088671566685	2.09566093973495	0.688976245229244	-1.06764308896663	0.278929179201636	-1.12775551530407	1.34657226816826	-0.0601124263374407	-1.4066846945057	-1.03220975012313e-17	1	1.00781520124221e-18	1	0.000843568062951042	0.940142152062203	0.00368927071937826	0.0763127322915902	-6.18488057486049e-19	1	1.13299127024735e-17	1	0.000843568062951053	0.994597038815135	0.00368927071937827	0.358705889870547	9.70360944374526e-18	1	0.000843568062951041	0.99635439459849	0.00368927071937826	0.429197441145458	-1.62630325872826e-18	1	0.00284570265642721	0.174413891265878	-0.000843568062951043	0.744001717728381	-0.00368927071937826	0.0240790745777377	2.20396969895244	0.000148773612834067	0.0557016942529874	0.146849921212421	"cladeI"
"Azoles"	8	5.2524555119687e-05	1.26276963093243e-05	0.000150975146275535	0.000323426572040698	0.0010466719763856	0.000169294753038505	-2.05640056741209	1.52324712825835	2.62237426993435	4.31667352951843	1.6884733178915	3.57964769567044	4.67877483734644	6.37307409693051	3.74487388530359	1.099127141676	2.79342640126007	0.165226189633148	1.69429925958408	-0.933900952042848	-2.62820021162693	-2.49834677882512e-17	1	-6.3894005301248e-18	1	8.0774549081485e-05	0.999996594914818	0.00492127823545666	3.20079206831414e-05	0.000276960404872191	0.998205628837511	1.85940672581264e-17	1	8.077454908151e-05	0.99999977286412	0.00492127823545668	0.0062409051936162	0.000276960404872216	0.999888439221146	8.07745490814914e-05	0.999999850430566	0.00492127823545666	0.0124892673839294	0.000276960404872198	0.999926940727309	0.00484050368637517	2.71133471418938e-06	0.000196185855790706	0.998108886030477	-0.00464431783058446	4.37722556401177e-06	6.392067406696	0.000237439817277403	1.67698398650328e-05	0.000364744017064463	"cladeI"
"Oxacyclic compounds"	43	2.18669015932057e-05	1.87264045175641e-05	0	3.84273849945272e-06	4.59290953920979e-05	8.80498007447922e-06	-0.22367488602749	-Inf	-2.5085421051324	1.07065955511485	-1.31235716938707	-Inf	-2.28486721910491	1.29433444114234	-1.08868228335958	Inf	Inf	Inf	3.57920166024725	1.19618493574533	-2.38301672450192	0.000498579681254473	0.999217983356313	-0.00253369602177089	0.539066296712279	-0.0017542730123504	0.186140187701314	-0.000185539103754121	0.999982167562703	-0.00142623671977017	0.360917107952937	-0.00303227570302537	0.562339537726137	-0.00225285269360487	0.506141478711903	-0.000684118785008594	0.997750270565983	-0.00192481640102465	0.659684820099343	0.000779423009420497	0.993716990569204	0.00234815691801677	0.70250357213835	0.00110745930200072	0.967859194546676	0.00156873390859627	0.610077660972279	0.000328036292580222	0.987085239267492	-0.00124069761601605	0.79475032468748	2.00379411720345	9.15699337046462e-05	0.0800296216600607	0.193097234863981	"NA"
"Arylnaphthalene lignans"	22	0	0	0	8.61370501617005e-06	0	2.07832704211584e-05	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	1.27071686902789	Inf	-1.9170665686221e-18	1	2.74500277306557e-18	1	0.0012404196342282	0.679030060922817	-3.49408791041919e-18	1	0.00113657051683615	0.721452261718383	4.66206934168767e-18	1	0.0012404196342282	0.955651282274557	-1.5770213417971e-18	1	0.00113657051683615	0.967674584357755	0.0012404196342282	0.968959345016455	-6.23909068348477e-18	1	0.00113657051683615	0.977759254892962	-0.00124041963422821	0.871865570817048	-0.000103849117392049	0.99997062313576	0.00113657051683616	0.89963799849079	0.833812094657633	4.75101114129554e-05	0.527175899031729	0.685070515063008	"NA"
"Thiophenes"	12	1.0966650261785e-05	0	0	3.99019309868383e-06	1.24996183316518e-05	3.28020221011008e-05	-Inf	-Inf	-1.45859245508097	0.188761118601558	1.58066182828926	NA	Inf	Inf	Inf	Inf	Inf	Inf	1.64735357368252	3.03925428337022	1.3919007096877	-0.000706062459777485	0.99916543812083	-0.000706062459777428	0.999414697109725	-0.000315885916405397	0.999666432602737	0.000359949277124727	0.999909329777745	0.000428694477468392	0.998216550902032	5.6920614055489e-17	1	0.000390176543372088	0.999934767313622	0.00106601173690221	0.996223895131958	0.00113475693724588	0.988138830247011	0.000390176543372031	0.999956886603754	0.00106601173690216	0.997169873096992	0.00113475693724582	0.991994650845786	0.000675835193530124	0.996530320302221	0.000744580393873789	0.89907612485052	6.87452003436651e-05	0.999999951633861	0.311633268743165	2.7804941863867e-05	0.905547473891257	0.966886575522995	"NA"
"Indoles and derivatives"	10	0.000232339167649826	0.000181748559001401	0.00080894853406206	0.000450958350733029	0.00014263325564715	0.00016431012184515	-0.354288457896778	1.79981553655038	0.956761812667947	-0.7039219911718	-0.499811027598741	2.15410399444716	1.31105027056473	-0.349633533275022	-0.145522569701963	-0.843053723882437	-2.50373752772218	-2.29962656414913	-1.66068380383975	-1.45657284026669	0.204110963573059	-6.75655081126194e-18	1	-2.74500277306557e-18	1	0.000391966052761004	0.997716749304652	-6.13559865792933e-18	1	0.00139518846650548	0.561868030488796	4.01154803819637e-18	1	0.000391966052761011	0.999836746243221	6.20952153332607e-19	1	0.00139518846650549	0.936222563400305	0.000391966052761007	0.999891905289991	-3.39059588486376e-18	1	0.00139518846650548	0.955253669089766	-0.00039196605276101	0.999395936025245	0.00100322241374448	0.533083447648613	0.00139518846650549	0.818394724528468	1.10108090557552	6.83663624490833e-05	0.361377128025763	0.523996835637357	"NA"
"Biotin and derivatives"	51	3.44939058281008e-06	0	0	2.3064822177945e-05	0	3.08630436858543e-05	-Inf	-Inf	2.74128076675295	-Inf	3.16146694322567	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	0.420186176472717	Inf	-0.00073844051567466	0.998683037227786	-0.000738440515674659	0.999074457573186	0.0014115320979243	0.719886942114593	-0.000738440515674652	0.996217851226947	0.0024111203991459	0.126446148750089	1.30104260698261e-18	1	0.00214997261359896	0.811490935962766	8.20051097734491e-18	1	0.00314956091482057	0.433136458872121	0.00214997261359895	0.859780235877647	6.8994683703623e-18	1	0.00314956091482056	0.531601374288523	-0.00214997261359895	0.578124682905976	0.000999588301221609	0.674092905029741	0.00314956091482056	0.145974131148633	2.86021937535429	0.000231151591170425	0.0163505612445062	0.0592707845113348	"NA"
"Pyrrolidines"	19	0	0	0	1.56192576213855e-07	0	3.38906851937319e-05	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	7.761419110705	Inf	-1.11771387599869e-17	1	-3.3708831180913e-18	1	5.06018000507295e-05	0.999999924752157	-9.18614931596809e-18	1	0.00226151415606869	0.106676840281411	7.80625564189563e-18	1	5.06018000507407e-05	0.999999995001622	1.99098944401884e-18	1	0.0022615141560687	0.689148156251771	5.06018000507328e-05	0.999999996709644	-5.8152661978768e-18	1	0.00226151415606869	0.761486697017552	-5.06018000507387e-05	0.999999981006433	0.00221091235601796	0.00532350327740627	0.0022615141560687	0.388957067502794	3.50880424989801	0.000235618247482647	0.00470188215992324	0.0272709165275548	"cladeJ"
"Prenol lipids"	87	0.00226797121254508	0.00674526217771759	0.00125843286505259	0.00238812791893957	0.00161807908298461	0.00359069689858492	1.57247219134053	-0.849774074631497	0.0744777877412864	-0.48712020755798	0.662861547751897	-2.42224626597202	-1.49799440359924	-2.05959239889851	-0.909610643588628	0.924251862372784	0.362653867073517	1.51263562238339	-0.561597995299267	0.588383760010611	1.14998175530988	0.0013586612746083	0.944860316266032	0.000301353901641683	0.999968326398673	0.0015437303760831	0.402927270152176	0.000682588969743944	0.993013903089976	0.00248008900249464	0.0207992480034954	-0.00105730737296662	0.994643391198381	0.000185069101474799	0.999994183231451	-0.000676072304864359	0.998519347590184	0.00112142772788634	0.964548744568438	0.00124237647444142	0.963690389451848	0.000381235068102261	0.999933350124134	0.00217873510085296	0.694590219016418	-0.000861141406339158	0.966066962263793	0.000936358626411542	0.523097162158599	0.0017975000327507	0.519112944652092	2.62092621387371	0.000139270446208293	0.0257032570292679	0.0828216059831964	"cladeJ"
"Benzimidazoles"	88	1.40282959483974e-05	1.40090192804699e-05	0	2.80937596616452e-05	0	2.80518269170477e-05	-0.00198381031699787	-Inf	1.00190993489351	-Inf	0.999754959672255	-Inf	1.00389374521051	-Inf	1.00173876998925	Inf	NA	Inf	-Inf	-0.00215497522125235	Inf	-0.000257552052440092	0.999988228560442	-0.00254734639339562	0.723627263245688	0.000887758533040445	0.925080264787182	-0.00254734639339562	0.4141503734803	0.00110871376023012	0.801692877763426	-0.00228979434095553	0.905997048918139	0.00114531058548054	0.977770042807251	-0.00228979434095553	0.81992251408334	0.00136626581267021	0.949816791894362	0.00343510492643607	0.335714553668912	-3.5877235525884e-18	1	0.00365606015362574	0.255631039010664	-0.00343510492643607	0.0517984173162956	0.000220955227189674	0.999188202442366	0.00365606015362574	0.025131292045685	2.95719128349959	0.00019784530183309	0.013593417850815	0.0520212437627156	"cladeJ"
"Glycerophospholipids"	73	0.000765979521849202	0.0012858153363638	0.000207043993831153	0.00169229161812127	0.000739055997642126	0.00183462968300156	0.747305735559489	-1.88736847083308	1.14360046924761	-0.0516221425162781	1.26011115890811	-2.63467420639257	0.396294733688124	-0.798927878075767	0.512805423348624	3.03096894008069	1.8357463283168	3.14747962974119	-1.19522261176389	0.1165106896605	1.31173330142439	0.00098010408562685	0.997162306743651	0.00219495218802897	0.925466045389058	0.00222935688691237	0.362411743152383	0.00355525434009524	0.282636988487422	0.00281235886327055	0.105016950942404	0.00121484810240212	0.997857422011102	0.00124925280128552	0.987609754707273	0.00257515025446839	0.874192346713266	0.0018322547776437	0.931429641521495	3.44046988833943e-05	0.999999999837149	0.00136030215206627	0.993685684682425	0.000617406675241578	0.999694996880132	0.00132589745318287	0.948419567258634	0.000583001976358184	0.972811387547206	-0.000742895476824688	0.995729744596357	1.61578956805067	0.000166943230020029	0.157829826104653	0.319330113281508	"NA"
"Quinolines and derivatives"	10	0.000337329798849765	0.00156106874461266	0.000727133927693467	0.000560517866256614	0.000894844876697003	0.00027757500998835	2.21030239743767	1.10806134449148	0.73260059105629	1.40747784176537	-0.281282079693611	-1.10224105294619	-1.47770180638138	-0.802824555672299	-2.49158447713128	-0.375460753435187	0.299416497273895	-1.38934342418509	0.674877250709082	-1.0138826707499	-1.68875992145898	-0.00129625385997182	0.992109827531368	-0.00129625385997181	0.994379925219724	0.000228042771153789	0.999965658261188	1.85744708484968e-06	1	-0.000459112313681556	0.998704633622002	7.15573433840433e-18	1	0.0015242966311256	0.977085389167185	0.00129811130705667	0.994945694139029	0.00083714154629026	0.998494387934249	0.0015242966311256	0.984209075612154	0.00129811130705666	0.996204109112106	0.000837141546290253	0.999004343919488	-0.000226185324068939	0.999991611154529	-0.000687155084835345	0.957745659308695	-0.000460969760766406	0.99968214810781	0.269359766521576	3.14845413904496e-05	0.929410234765509	0.966886575522995	"NA"
"Organic sulfuric acids and derivatives"	4	6.31811515653323e-05	1.64945812959847e-05	0.000257258380329016	0.000485172412894357	0.000147523635562404	0.0004266463720458	-1.93750207596015	2.02565193686264	2.94093138296622	1.2233799774132	2.75547464264006	3.96315401282279	4.87843345892637	3.16088205337335	4.69297671860022	0.915279446103578	-0.80227195944944	0.729822705777424	-1.71755140555302	-0.185456740326154	1.53209466522686	-0.00136504025726478	0.997341191296486	-0.00136504025726477	0.99812377755664	0.000755348484897837	0.997012989741837	-0.00136504025726477	0.99248952607753	-0.00136504025726477	0.9484826623226	4.55364912443912e-18	1	0.00212038874216261	0.971875069421638	4.27767038962463e-18	1	6.50521303491303e-18	1	0.00212038874216261	0.98053497444305	-2.75978734814492e-19	1	1.95156391047391e-18	1	-0.00212038874216261	0.9146478225024	-0.00212038874216261	0.361521369535876	2.2275426452884e-18	1	0.884888736555446	0.000182266652348659	0.492335706343091	0.677034141747417	"NA"
"Benzofurans"	82	1.31489639963631e-05	9.60296095413535e-06	0	2.38383808160761e-05	0	2.87180667854282e-05	-0.453397917710847	-Inf	0.858337111964498	-Inf	1.12700950009582	-Inf	1.31173502967534	-Inf	1.58040741780667	Inf	NA	Inf	-Inf	0.268672388131326	Inf	-0.000642235287363542	0.998675185040912	-0.00190735355545295	0.87989464617546	0.00127445299453068	0.685407330358339	-0.00190735355545296	0.678074378689206	0.00199172152255484	0.166160840729276	-0.00126511826808941	0.991047822296314	0.00191668828189422	0.794135338904811	-0.00126511826808942	0.980091256013532	0.00263395680991838	0.477177214277467	0.00318180654998363	0.370262773886539	-7.05717050454201e-18	1	0.00389907507800779	0.152391529128141	-0.00318180654998364	0.0649958926454545	0.00071726852802416	0.823167963595949	0.0038990750780078	0.00792419772420216	4.25833686625486	0.00025967115863665	0.00109080243849765	0.00862725564993597	"cladeJ"
"Glycerolipids"	72	0.000539275133197248	0.000343863798540843	0.000181450188695878	0.0019652985713039	0.00019046807736291	0.00237173024823913	-0.649184271389619	-1.57144795338023	1.86565509005787	-1.50147228963184	2.13684651684056	-0.922263681990607	2.51483936144749	-0.85228801824222	2.78603078823018	3.4371030434381	0.0699756637483872	3.70829447022079	-3.36712737968971	0.27119142678269	3.6383188064724	-0.00108118255543079	0.997848958255132	-0.00108118255543077	0.998484157402184	0.00283900067561988	0.267595131186465	-0.000674679052039117	0.999358520576493	0.00321564074486487	0.120101492319484	1.12757025938492e-17	1	0.00392018323105066	0.517735531121665	0.000406503503391669	0.999989034482233	0.00429682330029566	0.396462375253712	0.00392018323105065	0.609033486629018	0.000406503503391658	0.999991898933308	0.00429682330029565	0.495824613657161	-0.00351367972765899	0.335954699676307	0.000376640069244995	0.99824450470183	0.00389031979690399	0.20506253216306	3.03689032002024	0.000428882459882946	0.0116731809445246	0.0512387703821391	"NA"
"Phenylpropanoic acids"	37	2.42024439874096e-06	0	0	7.29306477716023e-05	0	2.44454441013011e-05	-Inf	-Inf	4.91330056341223	-Inf	3.33634097029786	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	-1.57695959311437	Inf	-0.000519985561607749	0.999952775488039	-0.000519985561607753	0.99996710936029	0.00231524260972443	0.554910459594591	-0.00051998556160775	0.99985930664409	0.00148170847732356	0.876393986282121	-3.25260651745651e-18	1	0.00283522817133218	0.842616968590755	-5.51957469628984e-19	1	0.00200169403893131	0.957710516868723	0.00283522817133218	0.884178356613885	2.70064904782753e-18	1	0.00200169403893131	0.970701292040769	-0.00283522817133218	0.632112591052972	-0.000833534132400867	0.948048310694232	0.00200169403893131	0.872696157208854	1.12530956126277	0.000175348658080839	0.348460564114604	0.522690846171906	"NA"
"Organonitrogen compounds"	51	0.00036277131894086	0.000138140042123158	7.34895820178984e-07	0.0011781669567913	0.00012862419833148	0.00137675134010877	-1.39292883079433	-8.94730493808845	1.69941169184986	-1.49589831413254	1.92413570819542	-7.55437610729411	3.0923405226442	-0.102969483338204	3.31706453898975	10.6467166299383	7.45140662395591	10.8714406462839	-3.1953100059824	0.224724016345558	3.42003402232796	-0.00352857167406021	0.41596532775618	-0.00416285023990882	0.310323444994044	-0.00162984139700588	0.592589653087836	-0.00416285023990884	0.0668655397393766	-0.00190387626948625	0.370371819288324	-0.000634278565848608	0.99984445157077	0.00189873027705433	0.884632256377793	-0.000634278565848626	0.999629856386856	0.00162469540457396	0.933990665591355	0.00253300884290294	0.763327105230842	-1.79780432964869e-17	1	0.00225897397042256	0.833122462154987	-0.00253300884290296	0.40518483019968	-0.000274034872480377	0.998626043483146	0.00225897397042258	0.511341270495941	2.18603202256491	0.000180964679870615	0.057555815084543	0.147275173892801	"NA"
"Halohydrins"	16	6.12658759542102e-06	3.2419361730178e-05	0	2.03563866713424e-05	1.45547193747202e-05	4.8540507724535e-05	2.40370004122046	-Inf	1.73232585455722	1.24833137729938	2.9860335526363	-Inf	-0.671374186663232	-1.15536866392108	0.582333511415843	Inf	Inf	Inf	-0.483994477257849	1.25370769807907	1.73770217533692	0.00179683451258226	0.978672095314768	-0.000527725086506832	0.999957551117505	0.000241079209266545	0.999973398687625	0.000622590924904038	0.999592162637694	0.00178529160952444	0.733894887645045	-0.00232455959908909	0.980145215653742	-0.00155575530331572	0.984420850080357	-0.00117424358767822	0.998109822952075	-1.15429030578202e-05	0.999999999999608	0.000768804295773377	0.999630059377101	0.00115031601141087	0.998722210341583	0.00231301669603127	0.937137878639594	0.000381511715637493	0.999933949242053	0.0015442124002579	0.524179757904891	0.0011627006846204	0.984520058553124	0.876374500266778	0.000126898599347117	0.498048104273962	0.677034141747417	"NA"
"Macrolactams"	57	0.000131741903841197	0.000309896624824677	0	3.7607009063712e-05	0	5.93237322105913e-05	1.23407273799366	-Inf	-1.80864082763415	-Inf	-1.15103303473477	-Inf	-3.04271356562781	-Inf	-2.38510577272843	Inf	NA	Inf	-Inf	0.65760779289938	Inf	0.0022389779097442	0.981736038423735	-0.0071888174418198	0.297248764314619	-0.00399804195222752	0.193232266046638	-0.00718881744181986	0.0613249547764375	-0.00387399417627192	0.185434706542948	-0.009427795351564	0.223723788744342	-0.00623701986197171	0.292198008055295	-0.00942779535156406	0.0852007492483327	-0.00611297208601612	0.299744592461425	0.00319077548959229	0.921363222981218	-6.09913003940027e-17	1	0.00331482326554788	0.904599715968685	-0.00319077548959235	0.725331244677887	0.000124047775955595	0.999998035047395	0.00331482326554794	0.670583086791935	2.95108349560953	0.000711455548964618	0.0137527426039363	0.0520212437627156	"NA"
"Isocoumarins and derivatives"	5	0	0	0	9.17493921178246e-07	0.000524469859309921	0	NA	NA	Inf	Inf	NA	NA	Inf	Inf	NA	Inf	Inf	NA	9.15894555032806	-Inf	-Inf	-1.11653110999234e-16	1	3.22205172895919e-17	1	0.000182524768569315	0.999992262648425	0.0084498120501227	0.000282710979834122	2.43058414304478e-17	1	1.43873628288826e-16	1	0.000182524768569427	0.999999482800593	0.00844981205012281	0.0205939409337444	1.35958952429682e-16	1	0.000182524768569283	0.999999659367126	0.00844981205012266	0.0358542958940817	-7.91467585914418e-18	1	0.00826728728155338	4.13529107151644e-05	-0.000182524768569291	0.999944755069181	-0.00844981205012267	1.53593211014158e-05	5.35637708771181	0.000730707249030322	0.000126790580110592	0.00137884755870269	"cladeI"
"(3'->5')-dinucleotides and analogues"	24	9.74432074369889e-06	0.000349366108819703	0	0.000104926907062519	0.000129130884178792	2.77846229550234e-05	5.1640342306598	-Inf	3.42867925271688	3.72812865872786	1.51165313581796	-Inf	-1.73535497794291	-1.43590557193194	-3.65238109484184	Inf	Inf	Inf	0.299449406010975	-1.91702611689893	-2.2164755229099	0.00696782624267554	0.356797265922378	-0.000665548889551271	0.999976318660779	0.00281644621328696	0.675272257889502	0.00593113119233606	0.289850015534277	0.000727358729945126	0.998683492238136	-0.00763337513222681	0.565754766843249	-0.00415138002938858	0.800457489983706	-0.00103669505033947	0.99981189526557	-0.00624046751273041	0.383730425785129	0.00348199510283823	0.92366110559078	0.00659668008188733	0.598250906123486	0.0013929076194964	0.998717560471308	0.00311468497904911	0.813759968230697	-0.00208908748334183	0.576684481822433	-0.00520377246239094	0.277208643066953	2.09820233699369	0.000611441519012212	0.0675143085241483	0.167821281188597	"NA"
"Lactams"	78	0.000151281398735116	0.000109454254534617	4.02606810089353e-06	0.000145543499495504	3.87397056921762e-05	5.54776623566187e-05	-0.46690657370493	-5.23171922163905	-0.0557842026316889	-1.96534970864293	-1.4472557037944	-4.76481264793412	0.411122371073241	-1.49844313493799	-0.980349130089473	5.17593501900736	3.26636951299612	3.78446351784464	-1.90956550601124	-1.39147150116271	0.518094004848522	-0.0010007101662447	0.9998154563378	-0.00858401872750468	0.278881790226975	-0.00385582244542193	0.404295556923498	-0.00720340904660746	0.164122752491956	-0.00545864952103635	0.0614816205077322	-0.00758330856125998	0.641367865304416	-0.00285511227917724	0.963819412621353	-0.00620269888036277	0.665235594169805	-0.00445793935479166	0.787465123428782	0.00472819628208275	0.813082113793939	0.00138060968089722	0.999587715904877	0.00312536920646832	0.960945257415496	-0.00334758660118553	0.809577950620781	-0.00160282707561442	0.848460080888885	0.00174475952557111	0.985165573199353	2.35750699498793	0.00078337709331455	0.0420053816775145	0.114202131435743	"NA"
